Informazioni cronologiche,Età,Genere,Occupazione,Settore,Titolo di studio,Sei a conoscenza del progetto Euro Digitale?,Conosci le criptovalute?,Quanto ti identifichi in quanto appena letto?,Quanto sei favorevole con quanto appena letto?,"Se potessi sapere chiaramente come lo Stato utilizza ogni singolo euro delle TUE tasse, come sarebbe la tua opinione rispetto alla risposta precedente?","Se potessi sapere chiaramente come lo Stato utilizza ogni singolo euro delle TUE tasse, saresti più d'accordo nel pagare le tasse?",Che tipo di funzionalità ti aspetti da un sistema come questo?,Cosa ti spaventerebbe/quali sono le tue preoccupazioni riguardo l’utilizzo di questo sistema?
03/11/2023 16.44.13,10 - 25 anni,Donna,Studente,Ingegnaria,Diploma di scuola superiore,No,No,Abbastanza,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 16.44.16,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si,Molto,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 16.49.33,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si,Abbastanza,Indifferente,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 16.58.38,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si e ne posseggo alcune,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato",Nessuna
03/11/2023 17.07.20,26 - 41 anni,Donna,Libero professionista,Educazione e formazione,Dottorato,No,Si,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 17.07.36,10 - 25 anni,Donna,Studente,Turismo alberghiero e ristorazione,Diploma di scuola superiore,No,Si,Abbastanza,Molto sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 17.07.46,26 - 41 anni,Donna,Libero professionista,"Ambiente, ecologia e sicurezza ambientale",Master,Si,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 17.10.39,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Indifferente,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 17.18.14,26 - 41 anni,Donna,Studente,Ingegneria,Laurea,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 17.20.09,58 - 76 anni,Donna,Dirigente,Pubblica Amministrazione,Laurea,No,No,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 17.22.51,42 - 57 anni,Donna,Disoccupato,Gestione famiglia,Diploma di scuola superiore,Si,No,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 17.23.56,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò), Espandere il sistema a qualsiasi forma di pagamento, in modo da poer abbattere evasione fiscale",Ho paura che parte dell'informazione possa andare persa a causa di gravi disastri ambientali / downtime mal gestiti etc.
03/11/2023 17.28.20,26 - 41 anni,Uomo,Quadro,Informatica,Laurea,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 17.29.27,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Dottorato,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 17.32.07,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Produzioni metalmeccaniche,Laurea,No,Si e ne posseggo alcune,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 17.38.42,42 - 57 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si,Abbastanza,Abbastanza favorevole,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 17.42.46,42 - 57 anni,Donna,"Impiegato, operaio, addetto","Credito, finanza, assicurazioni",Laurea,No,Si,Abbastanza,Abbastanza favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 17.46.38,26 - 41 anni,Donna,Libero professionista,"Comunicazione, pubblicità e pubbliche relazioni",Master,Si,Si,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 17.46.50,26 - 41 anni,Uomo,Quadro,Educazione e formazione,Laurea,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 17.51.26,42 - 57 anni,Uomo,Libero professionista,"Comunicazione, pubblicità e pubbliche relazioni",Laurea,No,Si e ne posseggo alcune,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò), L'attribuzione di ogni singola spesa a un cittadino ci farebbe sentire proprietari del bene pubblico in modo molto più forte di quando non lo siamo ora (è pubblico per cui non è mio e non è di nessuno), e incrementerebbe il senso civico. Per fare un esempio, se so che un'aiuola è ""mia"" ho una percezione diversa del bene e non ci butto l'immondizia.",Ho paura dell'uso improprio e distorto che potrebbero fare delle informazioni governi semi democratici
03/11/2023 17.55.43,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Produzioni metalmeccaniche,Laurea,No,Si,Molto,Sfavorevole,Sarei più favorevole,Un po' di più,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 18.00.09,10 - 25 anni,Donna,Studente,Informatica,Laurea,Si,Si,Abbastanza,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 18.13.33,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Giustizia,Laurea,No,Si,Molto,Molto favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 18.24.53,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,Si,Si,Abbastanza,Sfavorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di subire furti di denaro
03/11/2023 18.38.34,42 - 57 anni,Donna,"Impiegato, operaio, addetto",Informatica,Laurea,Si,Si,Molto,Indifferente,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 18.44.48,42 - 57 anni,Donna,Docente,Educazione e formazione,Diploma di scuola superiore,No,No,Molto,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 18.46.08,26 - 41 anni,Donna,Libero professionista,Servizi di consulenza professionale,Laurea,No,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 18.53.08,26 - 41 anni,Uomo,Quadro,Informatica,Laurea,Si,Si e ne posseggo alcune,Abbastanza,Sfavorevole,La mia opinione non cambia,No,"Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 18.53.13,26 - 41 anni,Uomo,Quadro,Informatica,Master,No,Si,Poco,Abbastanza favorevole,Sarei più favorevole,No,Tracciabilità delle donazioni alle associazioni di volontariato,che sia un grande effort per poco guadagno (per la comunità)
03/11/2023 18.53.17,10 - 25 anni,Donna,Studente,"Cartotecnica, stampa, editoria",Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 18.54.40,10 - 25 anni,Donna,"Impiegato, operaio, addetto",Telecomunicazioni,Laurea,No,Si,Poco,Indifferente,Sarei più favorevole,Un po' di più,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 18.56.16,42 - 57 anni,Donna,"Impiegato, operaio, addetto",Educazione e formazione,Diploma di scuola superiore,No,No,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 18.58.24,58 - 76 anni,Donna,Disoccupato,Casalinga,Licenza media,No,No,Molto,Sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 19.00.30,10 - 25 anni,Uomo,Studente,Informatica,Laurea,No,Si e ne posseggo alcune,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 19.01.52,58 - 76 anni,Uomo,"Impiegato, operaio, addetto",Edilizia ed impiantistica,Licenza media,No,No,Molto,Molto sfavorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato",Ho paura di poter essere truffato in qualche modo
03/11/2023 19.09.02,10 - 25 anni,Donna,Studente,Servizi socio-sanitari,Diploma di scuola superiore,Si,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Un po' di più,Tracciabilità delle donazioni alle associazioni di volontariato,"Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 19.17.24,42 - 57 anni,Uomo,Quadro,"Credito, finanza, assicurazioni",Master,Si,Si,Molto,Sfavorevole,La mia opinione non cambia,No,evitare ogni forma di tracking,Ho paura che la mia privacy venga violata
03/11/2023 19.20.05,26 - 41 anni,Donna,Studente,Economia aziendale,Diploma di scuola superiore,No,Si,Molto,Indifferente,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 19.22.00,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Turismo alberghiero e ristorazione,Laurea,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 19.24.51,26 - 41 anni,Uomo,"Impiegato, operaio, addetto","Credito, finanza, assicurazioni",Master,Si,Si,Abbastanza,Indifferente,Sarei più favorevole,Si,"Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 19.30.03,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 19.33.19,42 - 57 anni,Donna,Docente,Educazione e formazione,Diploma di scuola superiore,No,No,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 19.35.53,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Innovazione e trasporti,Laurea,Si,Si e ne posseggo alcune,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 19.40.04,42 - 57 anni,Donna,Quadro,Settore  pubblico,Master,No,Si,Poco,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 19.40.45,42 - 57 anni,Donna,Docente,Educazione e formazione,Laurea,No,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 19.44.58,26 - 41 anni,Donna,"Impiegato, operaio, addetto",Servizi di consulenza professionale,Master,No,Si,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 19.56.34,42 - 57 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Master,No,Si e ne posseggo alcune,Poco,Molto sfavorevole,La mia opinione non cambia,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)","Ho paura che la mia privacy venga violata, Ho paura di subire furti di denaro, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 19.56.36,26 - 41 anni,Donna,Dirigente,Patrimonio culturale,Master,No,No,Abbastanza,Sfavorevole,La mia opinione non cambia,Si,Tracciabilità delle donazioni alle associazioni di volontariato,Ho paura di poter essere truffato in qualche modo
03/11/2023 20.07.13,10 - 25 anni,Uomo,Studente,Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Molto sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di poter essere truffato in qualche modo
03/11/2023 20.07.45,42 - 57 anni,Donna,"Impiegato, operaio, addetto",Informatica,Diploma di scuola superiore,No,Si,Poco,Indifferente,La mia opinione non cambia,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 20.13.30,42 - 57 anni,Donna,Disoccupato,Casalinga,Diploma di scuola superiore,Si,Si,Molto,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura di poter essere truffato in qualche modo
03/11/2023 20.15.27,10 - 25 anni,Donna,Studente,Studentessa ragioneria,Licenza media,Si,Si,Abbastanza,Sfavorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 20.16.39,42 - 57 anni,Uomo,"Impiegato, operaio, addetto",Edilizia ed impiantistica,Licenza media,Si,Si,Abbastanza,Molto favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 20.28.57,42 - 57 anni,Uomo,Docente,Educazione e formazione,Laurea,No,No,Poco,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 20.36.00,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Servizi di consulenza professionale,Master,Si,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me
03/11/2023 20.36.24,10 - 25 anni,Uomo,Studente,Informatica,Laurea,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato","Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me, Ho paura di poter essere truffato in qualche modo"
03/11/2023 20.39.53,42 - 57 anni,Donna,Docente,Educazione e formazione,Diploma di scuola superiore,No,Si,Abbastanza,Abbastanza favorevole,Sarei più favorevole,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Tracciabilità delle donazioni alle associazioni di volontariato, Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)",Ho paura che la mia privacy venga violata
03/11/2023 20.41.48,26 - 41 anni,Uomo,"Impiegato, operaio, addetto","Comunicazione, pubblicità e pubbliche relazioni",Diploma di scuola superiore,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
03/11/2023 20.44.06,26 - 41 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Laurea,No,Si e ne posseggo alcune,Molto,Molto favorevole,La mia opinione non cambia,Si,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona), Permettere anche alle imprese terze di partecipare al tracking (esempio, un esercente dice di donare € 1 per ogni vendita effettuata ma il cliente non ha modo di verificare ciò)","Ho paura che la mia privacy venga violata, Ho paura che le mie informazioni possano essere rubate da malintenzionati e usate contro di me"
03/11/2023 20.47.44,42 - 57 anni,Uomo,"Impiegato, operaio, addetto",Informatica,Diploma di scuola superiore,No,Si,Abbastanza,Sfavorevole,La mia opinione non cambia,No,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura di subire furti di denaro
03/11/2023 20.49.21,26 - 41 anni,Donna,Docente,Educazione e formazione,Laurea,No,Si,Molto,Abbastanza favorevole,Sarei più favorevole,Un po' di più,"Tracciare a livello locale come vengono spese le MIE tasse (esempio, abito a Lecce e vorrei che la quota relativa alla sanità fosse spesa per i vari ospedali della zona)",Ho paura che la mia privacy venga violata
